"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234005","KED-0605","2026/04/06 15:38:10","新北市永和區福和路1號","121.526663333333","25.01011","6500400","永和區"
"234011","9372-KE","2026/04/06 14:37:29","新北市永和區福和路1號","121.526431666667","25.0098716666667","6500400","永和區"
"249005","KEP-3730","2026/04/06 17:14:53","新北市五股區凌雲路三段130號","121.41794","25.1286816666667","6502300","八里區"
"249002","KEU-3226","2026/04/06 17:15:04","新北市八里區龍米路二段117巷8號","121.446696666667","25.142945","6502300","八里區"
"249004","303-UY","2026/04/06 17:15:05","新北市八里區賢三街86號","121.417458333333","25.1580033333333","6502300","八里區"
"249001","KEJ-6379","2026/04/06 17:14:56","新北市八里區中華路二段165巷3號","121.407685","25.1510266666667","6502300","八里區"
"244002","KEV-0025","2026/04/06 15:55:08","新北市林口區粉寮路二段160巷28號","121.40523","25.09083","6501700","林口區"
"244017","KEG-2066","2026/04/06 16:19:02","新北市林口區粉寮69號","121.405055","25.090955","6501700","林口區"
"231046","KEG-2823","2026/04/06 17:15:03","新北市新店區灣潭路29-3號","121.540706666667","24.9388033333333","6500600","新店區"
"231043","619-UM","2026/04/06 16:27:12","新北市新店區安一路一段1-1號","121.519611666667","24.9609283333333","6500600","新店區"
"241018","KEV-8735","2026/04/06 17:15:08","新北市三重區六張街59號","121.49387","25.0703016666667","6500200","三重區"
"241023","KEQ-0216","2026/04/06 17:14:48","新北市三重區三民街207號","121.481648333333","25.0660316666667","6500200","三重區"
"241012","065-VK","2026/04/06 17:14:52","新北市三重區河邊北街248巷3號","121.501543333333","25.0759633333333","6500200","三重區"
"241006","KEU-6837","2026/04/06 17:15:08","新北市三重區車路頭街143巷16號","121.48452","25.0768266666667","6500200","三重區"
"241002","090-VK","2026/04/06 17:15:06","新北市三重區自強路五段7號","121.492301666667","25.0803783333333","6500200","三重區"
"241003","091-VK","2026/04/06 17:14:59","新北市三重區五華街141巷58號","121.493458333333","25.0867366666667","6500200","三重區"
"241017","742-BX","2026/04/06 17:15:05","新北市三重區重新路三段45-6號","121.493405","25.06187","6500200","三重區"
"241007","398-BY","2026/04/06 17:15:11","新北市三重區三和路四段155巷31號","121.484833333333","25.07862","6500200","三重區"
"241016","KEV-8733","2026/04/06 17:14:57","新北市三重區大同北路97-1號","121.494566666667","25.0637266666667","6500200","三重區"
"241015","KEV-8753","2026/04/06 17:15:02","新北市三重區長元街82-1號","121.501833333333","25.0664416666667","6500200","三重區"
"241032","KEG-2906","2026/04/06 17:14:56","新北市三重區興華街109號","121.48378","25.0599383333333","6500200","三重區"
"241009","267-UM","2026/04/06 17:14:59","新北市三重區仁愛街670號","121.482368333333","25.0803616666667","6500200","三重區"
"241001","KEG-2057","2026/04/06 17:14:52","新北市三重區仁愛街269巷56號","121.49454","25.0797583333333","6500200","三重區"
"241013","KEA-2210","2026/04/06 17:14:51","新北市三重區仁興街28巷42號","121.498453333333","25.0749916666667","6500200","三重區"
"241030","KED-0822","2026/04/06 17:14:55","新北市三重區成功路73巷18號","121.4894","25.0519233333333","6500200","三重區"
"241024","462-BY","2026/04/06 17:14:58","新北市三重區中正北路189號","121.477301666667","25.0697283333333","6500200","三重區"
"241004","475-VK","2026/04/06 17:15:05","新北市三重區五華街116號","121.491941666667","25.0829066666667","6500200","三重區"
"241026","480-VK","2026/04/06 17:14:54","新北市三重區福裕街65號","121.49846","25.06165","6500200","三重區"
"241005","557-UM","2026/04/06 17:15:09","新北市三重區碧華街149號","121.486433333333","25.0821533333333","6500200","三重區"
"241019","KEA-2593","2026/04/06 17:15:05","新北市三重區力行路一段74號","121.484295","25.069585","6500200","三重區"
"241011","743-BX","2026/04/06 17:14:54","新北市三重區仁愛街55巷68號","121.497828333333","25.07256","6500200","三重區"
"241022","KED-0820","2026/04/06 17:14:58","新北市三重區中正北路64巷21號","121.486058333333","25.0638283333333","6500200","三重區"
"241008","KED-0670","2026/04/06 17:14:52","新北市三重區永福街186號","121.481548333333","25.0744533333333","6500200","三重區"
"241014","KEG-2063","2026/04/06 17:15:02","新北市三重區長壽街90號","121.501748333333","25.0685966666667","6500200","三重區"
"235065","KEV-8750","2026/04/06 15:49:03","新北市中和區員山路36巷16-3號","121.485115","24.9912966666667","6500300","中和區"
"247016","KED-0682","2026/04/06 17:15:07","新北市蘆洲區光華路73巷29號","121.4686","25.0819516666667","6501400","蘆洲區"
"235024","KED-0823","2026/04/06 15:35:24","新北市中和區和城路一段271巷1號","121.485456666667","24.9920066666667","6500300","中和區"
"247012","KEU-6153","2026/04/06 17:15:09","新北市蘆洲區信義路242號","121.478635","25.0861566666667","6501400","蘆洲區"
"247024","KEJ-3257","2026/04/06 17:15:06","新北市蘆洲區長榮路516號","121.459511666667","25.08995","6501400","蘆洲區"
"247014","KEQ-0215","2026/04/06 17:15:06","新北市蘆洲區得勝街88號","121.472098333333","25.0834216666667","6501400","蘆洲區"
"247022","KEG-2912","2026/04/06 17:15:02","新北市蘆洲區三民路128巷68號","121.470153333333","25.089375","6501400","蘆洲區"
"247008","057-VK","2026/04/06 17:14:51","新北市蘆洲區信義路30巷93號","121.475041666667","25.0774866666667","6501400","蘆洲區"
"247006","KEV-0317","2026/04/06 17:15:06","新北市蘆洲區長安街111巷32弄2號","121.460546666667","25.080175","6501400","蘆洲區"
"247004","007-UY","2026/04/06 17:14:55","新北市蘆洲區長安街172巷33-1號","121.460376666667","25.0840083333333","6501400","蘆洲區"
"247020","KEU-5222","2026/04/06 17:14:58","新北市蘆洲區民族路426巷12號","121.473651666667","25.09223","6501400","蘆洲區"
"247002","KEJ-3259","2026/04/06 17:14:50","新北市蘆洲區永樂街38巷33弄44號","121.457016666667","25.0899833333333","6501400","蘆洲區"
"247010","KEV-8738","2026/04/06 17:15:04","新北市蘆洲區中山一路120巷7弄10號","121.47757","25.0822583333333","6501400","蘆洲區"
"241033","KEU-5251","2026/04/06 17:15:04","新北市三重區中興北街195號","121.469193333333","25.057355","6500200","三重區"
"241025","KEU-5215","2026/04/06 17:15:07","新北市三重區中正北路311號","121.47415","25.0714683333333","6500200","三重區"
"228002","KEQ-0201","2026/04/06 17:14:58","新北市貢寮區雙玉里下雙溪街15-1號","121.915548333333","25.01225","6502600","貢寮區"
"224006","KEU-5252","2026/04/06 17:14:56","新北市瑞芳區大寮路2-2號","121.785608333333","25.1014833333333","6501200","瑞芳區"
"242058","KEU-3252","2026/04/06 17:14:50","新北市新莊區中正路508巷35弄66-20號","121.435288333333","25.038105","6500500","新莊區"
"224009","KEQ-0331","2026/04/06 17:15:00","新北市瑞芳區濱二路27號","121.833733333333","25.11174","6501200","瑞芳區"
"224008","285-BY","2026/04/06 17:14:51","新北市瑞芳區明燈路一段182號","121.818345","25.1082116666667","6501200","瑞芳區"
"224007","272-VK","2026/04/06 17:14:54","新北市瑞芳區粗坑口路1巷19號","121.763125","25.0946","6501200","瑞芳區"
"227002","KEJ-6395","2026/04/06 17:14:55","新北市雙溪區平林里梅竹蹊59-1號","121.855156666667","25.0331466666667","6502500","雙溪區"
"251010","KEV-0028","2026/04/06 17:14:47","新北市淡水區中正路二段31號","121.419531666667","25.18146","6501000","淡水區"
"251013","KEQ-0332","2026/04/06 17:14:51","新北市淡水區大埤頭9號","121.482028333333","25.19485","6501000","淡水區"
"251002","KEV-0032","2026/04/06 17:14:50","新北市淡水區中正路二段31號","121.419355","25.1817133333333","6501000","淡水區"
"251015","KEA-2871","2026/04/06 17:15:06","新北市淡水區鄧公路36巷9號","121.456478333333","25.16925","6501000","淡水區"
"251008","179-VK","2026/04/06 17:15:04","新北市淡水區民生路169號","121.469736666667","25.1422183333333","6501000","淡水區"
"251005","441-VK","2026/04/06 17:15:00","新北市淡水區學府路89號","121.448993333333","25.1708216666667","6501000","淡水區"
"251007","442-VK","2026/04/06 17:14:52","新北市淡水區民生路47-4號","121.462085","25.1380716666667","6501000","淡水區"
"251006","443-VK","2026/04/06 17:15:06","新北市淡水區中正路340號","121.435238333333","25.173645","6501000","淡水區"
"251011","KEG-2913","2026/04/06 17:14:57","新北市淡水區坪頂路51巷2號","121.45801","25.1626133333333","6501000","淡水區"
"251009","577-R6","2026/04/06 17:14:56","新北市淡水區中正路253號","121.433436666667","25.1745433333333","6501000","淡水區"
"251003","673-BX","2026/04/06 17:15:06","新北市淡水區中正路二段31號","121.41969","25.1815533333333","6501000","淡水區"
"251012","KEJ-6391","2026/04/06 17:14:50","新北市淡水區中山北路一段158號","121.444396666667","25.1779083333333","6501000","淡水區"
"251014","KEU-3217","2026/04/06 17:14:52","新北市淡水區公埔子2號","121.462908333333","25.2267183333333","6501000","淡水區"
"239001","KEE-1109","2026/04/06 17:15:01","新北市鶯歌區尖山路156巷36號","121.3459","24.9492783333333","6500800","鶯歌區"
"252002","AAC-283","2026/04/06 17:14:50","新北市三芝區忠孝街1-14號","121.505615","25.2540316666667","6502100","三芝區"
"228003","KEL-5003","2026/04/06 17:15:01","新北市貢寮區福隆里東興街36號","121.949193333333","25.0180966666667","6502600","貢寮區"
"247026","KED-0683","2026/04/06 17:15:03","新北市蘆洲區長安街68巷15號","121.463265","25.0806566666667","6501400","蘆洲區"
"252001","KED-0821","2026/04/06 17:14:50","新北市三芝區長安街119號","121.49806","25.2597416666667","6502100","三芝區"
"244025","KEU-5233","2026/04/06 17:15:04","新北市林口區粉寮路二段160巷28號","121.405155","25.0908533333333","6501700","林口區"
"242019","AAC-296","2026/04/06 17:14:59","新北市新莊區中正路508巷35弄80號","121.43487","25.0380166666667","6500500","新莊區"
"242013","751-BX","2026/04/06 17:14:55","新北市新莊區三和路35-6號","121.43569","25.03911","6500500","新莊區"
"242029","KEG-2065","2026/04/06 17:15:05","新北市新莊區中正路61巷3-2號","121.462135","25.039165","6500500","新莊區"
"242027","613-BX","2026/04/06 17:15:02","新北市新莊區中正路61巷3-2號","121.46226","25.0392283333333","6500500","新莊區"
"242034","497-BY","2026/04/06 17:14:57","新北市新莊區三泰路30-4號","121.438486666667","25.0350316666667","6500500","新莊區"
"242056","442-UM","2026/04/06 17:14:57","新北市新莊區三泰路56號","121.437053333333","25.0355766666667","6500500","新莊區"
"242017","KEV-0021","2026/04/06 17:15:02","新北市新莊區新泰路255巷83號","121.44186","25.0384316666667","6500500","新莊區"
"242042","KEV-0020","2026/04/06 17:15:06","新北市新莊區中正路508巷35弄66-20號","121.435408333333","25.0383833333333","6500500","新莊區"
"242009","KEQ-0210","2026/04/06 17:14:48","新北市新莊區三和路37號","121.435715","25.039165","6500500","新莊區"
"242021","KEU-3295","2026/04/06 17:14:49","新北市新莊區三泰路14號","121.440593333333","25.0341433333333","6500500","新莊區"
"242023","362-BY","2026/04/06 17:15:00","新北市新莊區三泰路2號","121.440813333333","25.03408","6500500","新莊區"
"242046","KEV-8752","2026/04/06 17:14:59","新北市新莊區福營路88號","121.437431666667","25.0334966666667","6500500","新莊區"
"242044","KEE-1025","2026/04/06 17:14:52","新北市新莊區中正路727號","121.422853333333","25.0290833333333","6500500","新莊區"
"242039","135-UY","2026/04/06 17:14:58","新北市新莊區中正路510-1號","121.434743333333","25.0327433333333","6500500","新莊區"
"242050","172-VK","2026/04/06 17:14:54","新北市新莊區三和路21巷1號","121.435583333333","25.0383616666667","6500500","新莊區"
"242036","KEV-8737","2026/04/06 17:15:08","新北市新莊區新樹路138-1號","121.435233333333","25.0236383333333","6500500","新莊區"
"242011","KEU-6109","2026/04/06 17:15:07","新北市新莊區中平路82巷2號","121.444808333333","25.0447933333333","6500500","新莊區"
"242048","KEU-6130","2026/04/06 17:14:58","新北市新莊區中正路700-26號","121.417888333333","25.0267333333333","6500500","新莊區"
"242007","KEG-2909","2026/04/06 17:14:52","新北市新莊區三和路35-6號","121.435665","25.0391033333333","6500500","新莊區"
"242004","KEJ-6385","2026/04/06 17:14:53","新北市新莊區新泰路347巷6弄27號","121.443493333333","25.0415666666667","6500500","新莊區"
"238015","755-BX","2026/04/06 17:14:55","新北市樹林區大安路616號","121.411361666667","24.9830516666667","6500700","樹林區"
"238023","601-UM","2026/04/06 17:15:00","新北市樹林區中山路二段89號","121.411391666667","24.98284","6500700","樹林區"
"238019","599-UM","2026/04/06 17:14:58","新北市樹林區八德街652號","121.396458333333","24.9690566666667","6500700","樹林區"
